Friday January 04 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Non Farm Payrolls DEC 2012,,,,,,
Friday February 01 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Non Farm Payrolls JAN 2013,,,,,,
Monday February 25 2013,,,,Actual,Previous,Consensus,Forecast,,
8:00 PM,,US,Fed Lockhart speech ,,,,,,
Tuesday February 26 2013,,,,Actual,Previous,Consensus,Forecast,,
11:00 AM,,US,Consumer Confidence,,58.6,61,,,
Wednesday February 27 2013,,,,Actual,Previous,Consensus,Forecast,,
5:30 PM,,US,Fed Richard Fisher speech ,,,,,,
Thursday February 28 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Continuing Jobless Claims,,3.148M,3.150M,,,
1:30 PM,,US,FOMC Member Raskin Speech ,,,,,,
9:00 PM,,US,Fed Evans Speech ,,,,,,
Friday March 01 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Personal Spending MoM,,0.20%,0.20%,,,
11:00 AM,,US,ISM Prices Paid,,56.5,57.9,,,
Monday March 04 2013,,,,Actual,Previous,Consensus,Forecast,,
9:00 AM,,US,FOMC Member Yellen Speech ,,,,,,
10:45 AM,,US,ISM New York index FEB 2013,58.8,56.7,,,,
Tuesday March 05 2013,,,,Actual,Previous,Consensus,Forecast,,
11:00 AM,,US,ISM Non-Manufacturing PMI FEB 2013,56,55.2,55,,,
Wednesday March 06 2013,,,,Actual,Previous,Consensus,Forecast,,
9:15 AM,,US,Philadelphia Fed Plosser speech ,,,,,,
Friday March 08 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Non Farm Payrolls FEB 2013,236K,119K ®,160K,,,
Wednesday March 13 2013,,,,Actual,Previous,Consensus,Forecast,,
8:30 AM,,US,Retail Sales MoM FEB 2013,1.10%,0.2% ®,0.50%,,,
Thursday March 14 2013,,,,Actual,Previous,Consensus,Forecast,,
8:30 AM,,US,Continuing Jobless Claims 04/MAR-08/MAR,3024K,3113K ®,3100K,,,
Friday March 15 2013,,,,Actual,Previous,Consensus,Forecast,,
8:30 AM,,US,Inflation Rate MoM FEB 2013,0.70%,0.00%,0.50%,,,
8:30 AM,,US,Consumer Price Index Ex Food & Energy (MoM) FEB 2013,0.20%,0.30%,0.20%,,,
8:30 AM,,US,Consumer Price Index Ex Food & Energy (YoY) FEB 2013,2.00%,1.90%,2.00%,,,
8:30 AM,,US,Inflation Rate YoY FEB 2013,2.00%,1.60%,1.90%,,,
Tuesday March 26 2013,,,,Actual,Previous,Consensus,Forecast,,
8:30 AM,,US,Durable Goods Orders MoM FEB 2013,5.70%,-3.8% ®,2.50%,,,
Thursday March 28 2013,,,,Actual,Previous,Consensus,Forecast,,
8:30 AM,,US,GDP Price Index Q4 2013,1.00%,0.90%,,,,
8:30 AM,,US,Continuing Jobless Claims MAR 17,3050K,3077K,,,,
Friday March 29 2013,,,,Actual,Previous,Consensus,Forecast,,
8:30 AM,,US,Personal Spending MoM FEB 2013,0.30%,0.30%,0.20%,,,
Monday April 01 2013,,,,Actual,Previous,Consensus,Forecast,,
10:00 AM,,US,ISM Prices Paid MAR 2013,54.5,61.5,59.8,,,
Tuesday April 02 2013,,,,Actual,Previous,Consensus,Forecast,,
10:45 AM,,US,ISM New York index MAR 2013,51.2,58.8,,,,
Wednesday April 03 2013,,,,Actual,Previous,Consensus,Forecast,,
11:00 AM,,US,ISM Non-Manufacturing PMI MAR 2013,54.4,56,56,,,
Friday April 05 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Balance of Trade FEB 2013,$-42.96B,$-44.46B ®,$ -45.0B,,,
9:30 AM,,US,Non Farm Payrolls MAR 2013,88K,268K ®,197K,,,
Wednesday April 10 2013,,,,Actual,Previous,Consensus,Forecast,,
3:00 PM,,US,Federal Budget Balance MAR 2013,-107.0B,-203.5B,-164.5B,,,
Thursday April 11 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Continuing Jobless Claims 25/MAR-29/MAR,3079K,3091K ®,3070K,,,
Friday April 12 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Retail Sales MoM MAR 2013,0.40%,1.0% ®,0.20%,,,
10:55 AM,,US,Reuters/Michigan Consumer Sentiment Index APR 2013,72.3,78.6,78.5,,,
Tuesday April 16 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Inflation Rate MoM MAR 2013,-0.20%,0.70%,0.10%,,,
9:30 AM,,US,Inflation Rate YoY MAR 2013,1.50%,2.00%,1.70%,,,
Wednesday April 17 2013,,,,Actual,Previous,Consensus,Forecast,,
3:00 PM,,US,Fed Beige Book,,,,,,
Thursday April 18 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Continuing Jobless Claims 01/APR-05/APR,3068K,3103K ®,3075K,,,
Wednesday April 24 2013,,,,Actual,Previous,Consensus,Forecast,,
9:30 AM,,US,Durable Goods Orders MoM MAR 2013,-5.70%,4.3% ®,-2.50%,,,
